mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,5370302,5370302,0,3.9043425,3.831,16228.0,0.709,,12.28,,,351.05,1104.0,5810.0,4.526,0.898,,,,323.4,0.0,1.0,0.0,0.0,173.393734,2455006.393734
KEPLER,5372966,5372966,0,9.286358079,3.49949,44791.0,0.377,,17.61,,,95.03,796.0,5670.0,4.523,0.821,,,,1671.1,0.0,1.0,0.0,0.0,171.8214689,2455004.8214689
KEPLER,5376067,5376067,0,3.951405455,2.1862,2453.9,1.276,,31.44,,,388.71,1133.0,6046.0,4.539,0.869,,,,117.2,0.0,1.0,0.0,0.0,173.276125,2455006.276125
KEPLER,5436502,5436502,1,23.65369415,8.2183,3341.8,0.008,,7.89,,,67.65,731.0,5739.0,4.191,1.384,,,,266.3,0.0,0.0,0.0,0.0,171.376107,2455004.376107
KEPLER,5456651,5456651,1,11.76307164,2.9076,1037.3,0.048,,2.35,,,33.99,616.0,4959.0,4.603,0.756,,,,48.9,0.0,0.0,0.0,0.0,180.93613,2455013.93613
KEPLER,5481416,5481416,0,2.384052875,3.0918,1268.1,1.178,,17.06,,,244.87,1010.0,4794.0,4.58,0.701,,,,50.5,0.0,1.0,1.0,1.0,171.58362,2455004.58362
KEPLER,5531576,5531576,1,7.953547,2.6312,875.4,0.3,,2.25,,,55.37,696.0,4768.0,4.536,0.779,,,,38.4,0.0,0.0,0.0,0.0,174.66224,2455007.66224
KEPLER,5534814,5534814,0,4.859386384,2.2757,6044.3,1.259,,38.33,,,364.23,1114.0,6072.0,4.47,0.988,,,,269.7,0.0,1.0,0.0,0.0,173.011469,2455006.011469
KEPLER,6291653,6291653,1,10.526294577,2.5211,9768.0,0.644,,8.24,,,61.16,713.0,5386.0,4.553,0.793,,,,482.3,0.0,0.0,0.0,0.0,176.522462,2455009.522462
KEPLER,6392727,6392727,1,4.583520948,2.7055,3812.1,0.045,,5.39,,,274.98,1038.0,5815.0,4.54,0.877,,,,99.5,0.0,0.0,0.0,0.0,169.973972,2455002.973972
