mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd,fpflag_sum
KEPLER,8008128,8008128,0,14.854415674,5.13753,77410.0,0.57,NA,29.77,0.07015,NA,95.83,798.0,6214.0,4.444,1.022,0.8805000000000001,-0.06,NA,2822.1,0.0,1.0,0.0,0.0,136.5597829,2454969.5597829,1.0
KEPLER,8009500,8009500,0,38.47674409,5.10744,173170.0,0.458,NA,33.8,0.07015,NA,10.85,463.0,5294.0,4.507,0.79,0.8805000000000001,-0.06,NA,3487.8,0.0,1.0,0.0,0.0,150.5742128,2454983.5742128,1.0
KEPLER,8013289,8013289,0,10.643110689,88.1118,316.3,1.179,NA,31.72,0.07015,NA,274.67,1038.0,5930.0,4.084,1.473,0.8805000000000001,-0.06,NA,153.7,1.0,0.0,0.0,0.0,140.1691798,2454973.1691798,1.0
KEPLER,8016214,8016214,0,1.587485742,7.7489,246570.0,0.259,NA,41.52,0.07015,NA,1070.86,1460.0,5863.0,4.566,0.821,0.8805000000000001,-0.06,NA,996.8,0.0,1.0,0.0,0.0,132.138538,2454965.138538,1.0
KEPLER,8016692,8016692,1,6.613671,4.211,32.8,0.096,NA,0.91,0.07015,NA,607.33,1266.0,6056.0,4.071,1.597,0.8805000000000001,-0.06,NA,10.2,0.0,0.0,0.0,0.0,136.4964,2454969.4964,0.0
KEPLER,8027902,8027902,0,1.79621807,10.16,47.0,0.72,NA,1.54,0.07015,NA,8937.14,2480.0,7117.0,3.988,2.09,0.8805000000000001,-0.06,NA,42.0,1.0,0.0,0.0,0.0,131.54732,2454964.54732,1.0
KEPLER,8039925,8039925,0,20.2594232,19.27,82.6,0.707,NA,1.23,0.07015,NA,116.05,837.0,6602.0,4.301,1.269,0.8805000000000001,-0.06,NA,23.7,1.0,0.0,0.0,0.0,141.4275,2454974.4275,1.0
KEPLER,8042644,8042644,1,1.48062814,2.898,62.5,0.479,NA,0.76,0.07015,NA,1770.63,1653.0,6187.0,4.499,0.937,0.8805000000000001,-0.06,NA,10.3,0.0,0.0,0.0,0.0,131.51535,2454964.51535,0.0
KEPLER,8081389,8081389,0,1.489442254,5.51392,417900.0,0.455,NA,115.45,0.07015,NA,6938.66,2328.0,6962.0,4.148,1.62,0.8805000000000001,-0.06,NA,2309.2,0.0,1.0,0.0,0.0,132.0042975,2454965.0042975,1.0
KEPLER,8750094,8750094,0,1.12679793,12.079,227.2,1.215,NA,21.07,0.07015,NA,1514.63,1590.0,5662.0,4.56,0.84,0.8805000000000001,-0.06,NA,21.1,1.0,0.0,1.0,0.0,132.2757,2454965.2757,2.0
KEPLER,8758161,8758161,0,0.998217563,3.90851,87567.0,1.003,NA,88.64,0.07015,NA,14421.97,2795.0,6980.0,4.06,1.755,0.8805000000000001,-0.06,NA,3979.1,0.0,1.0,0.0,0.0,131.8142317,2454964.8142317,1.0
KEPLER,8760760,8760760,1,2.68814059,1.12,145.2,0.532,NA,0.92,0.07015,NA,392.64,1135.0,5636.0,4.613,0.734,0.8805000000000001,-0.06,NA,9.1,0.0,0.0,0.0,0.0,132.66869,2454965.66869,0.0
